sample_index,timestamp,eeg
1,1782309407.4286501,974
2,1782309407.4286597,971
3,1782309407.4286618,965
4,1782309407.4286628,963
5,1782309407.4286637,976
6,1782309407.4286728,968
7,1782309407.4286735,959
8,1782309407.4286745,958
9,1782309407.4286754,959
10,1782309407.4286764,51
11,1782309407.428697,831
12,1782309407.4286983,164
13,1782309407.4286995,614
14,1782309407.4287004,288
15,1782309407.4287012,836
16,1782309407.4287024,159
17,1782309407.4287035,627
18,1782309407.4287043,285
19,1782309407.428705,846
20,1782309407.428706,156
21,1782309407.4287136,636
22,1782309407.4287145,279
23,1782309407.4287155,856
24,1782309407.4287162,152
25,1782309407.4287174,645
26,1782309407.428718,286
27,1782309407.428719,851
28,1782309407.4287198,197
29,1782309407.4287207,616
30,1782309407.4287214,333
31,1782309407.4287267,838
32,1782309407.428728,199
33,1782309407.42873,620
34,1782309407.4287312,321
35,1782309407.4287322,428
36,1782309407.4287329,195
37,1782309407.4287336,633
38,1782309407.4287345,326
39,1782309407.4287353,425
40,1782309407.4287362,185
41,1782309407.428742,640
42,1782309407.4287426,319
43,1782309407.4287436,428
44,1782309407.4287446,180
45,1782309407.4287453,649
46,1782309407.4287462,311
47,1782309407.428747,429
48,1782309407.428748,176
49,1782309407.4287486,693
50,1782309407.4287493,307
51,1782309407.4287534,429
52,1782309407.4287543,171
53,1782309407.4287553,663
54,1782309407.4287562,302
55,1782309407.428757,431
56,1782309407.4287577,168
57,1782309407.42876,675
58,1782309407.428761,297
59,1782309407.428762,432
60,1782309407.4287627,419
61,1782309407.4287667,688
62,1782309407.4287674,294
63,1782309407.4287682,434
64,1782309407.4287694,410
65,1782309407.4287703,694
66,1782309407.428771,278
67,1782309407.4287722,430
68,1782309407.428773,409
69,1782309407.4287736,706
70,1782309407.4287744,265
71,1782309407.6145136,438
72,1782309407.6145275,401
73,1782309407.6145287,737
74,1782309407.61453,269
75,1782309407.614531,448
76,1782309407.6145325,388
77,1782309407.6145344,722
78,1782309407.6145353,264
79,1782309407.6145365,451
80,1782309407.6145375,391
81,1782309407.6145504,734
82,1782309407.6145515,255
83,1782309407.6145527,473
84,1782309407.6145537,386
85,1782309407.6145546,390
86,1782309407.6145554,249
87,1782309407.6145563,487
88,1782309407.6145573,381
89,1782309407.614558,396
90,1782309407.614559,242
91,1782309407.614565,408
92,1782309407.6145658,392
93,1782309407.6145675,380
94,1782309407.6145682,365
95,1782309407.6145692,355
96,1782309407.61457,345
97,1782309407.6145716,334
98,1782309407.6145725,318
99,1782309407.6145732,313
100,1782309407.6145742,302
101,1782309407.6145792,627
102,1782309407.6145802,614
103,1782309407.6145813,603
104,1782309407.614582,593
105,1782309407.6145828,582
106,1782309407.6145837,569
107,1782309407.6145847,562
108,1782309407.6145854,551
109,1782309407.6145966,542
110,1782309407.6145976,475
111,1782309407.6146026,293
112,1782309407.6146035,280
113,1782309407.6146045,267
114,1782309407.6146054,247
115,1782309407.6146064,345
116,1782309407.6146073,567
117,1782309407.614608,395
118,1782309407.614609,513
119,1782309407.61461,347
120,1782309407.6146107,560
121,1782309407.6146164,396
122,1782309407.6146173,510
123,1782309407.614618,379
124,1782309407.6146195,564
125,1782309407.6146202,302
126,1782309407.6146212,500
127,1782309407.614622,381
128,1782309407.614623,499
129,1782309407.6146238,344
